year,type,action,access to car (1+),no access to car (0)
2017,place,city/large town,58.0,12.1
2017,place,small town,34.5,5.5
2017,place,village,16.8,1.9
2017,place,rural countryside,17.3,3.6
2017,place,seaside resort or town,7.6,1.6
2017,place,seaside coastline - a beach,7.0,1.3
2017,place,other seaside coastline,1.7,0.0
2018,place,city/large town,52.2,11.3
2018,place,small town,31.0,6.7
2018,place,village,13.1,2.4
2018,place,rural countryside,15.5,1.6
2018,place,seaside resort or town,6.1,1.6
2018,place,seaside coastline - a beach,4.6,0.7
2018,place,other seaside coastline,1.7,0.2
2019,place,city/large town,47.3,11.4
2019,place,small town,30.2,6.2
2019,place,village,13.5,2.7
2019,place,rural countryside,16.3,2.4
2019,place,seaside resort or town,8.0,1.0
2019,place,seaside coastline - a beach,5.2,1.5
2019,place,other seaside coastline,1.4,0.0
2011,transport,any car (net),97.2,6.2
2011,transport,car - own/friends/family,95.3,5.8
2011,transport,car - hired,1.9,0.4
2011,transport,public transport (net),12.4,13.3
2011,transport,train,7.5,5.3
2011,transport,a regular bus\coach,4.9,7.9
2011,transport,organised coach tour,2.2,0.0
2011,transport,taxi,4.3,0.5
2011,transport,walked\on foot,7.0,4.8
2011,transport,bicycle,0.5,0.2
2011,transport,minibus,0.7,0.1
2011,transport,motor cycle,0.4,0.2
2011,transport,tube,0.7,0.1
2011,transport,tram,0.5,0.0
2011,transport,motorised caravan\campervan,0.2,0.4
2011,transport,plane,1.2,0.4
2011,transport,boat\ship\ferry,0.4,0.1
2011,transport,lorry\truck\van,0.2,0.0
2011,transport,other,0.2,0.0
2012,transport,any car (net),104.8,6.0
2012,transport,car - own/friends/family,104.1,5.3
2012,transport,car - hired,0.8,0.7
2012,transport,public transport (net),15.4,13.4
2012,transport,train,8.5,6.1
2012,transport,a regular bus\coach,6.9,7.4
2012,transport,organised coach tour,1.6,0.2
2012,transport,taxi,2.4,1.3
2012,transport,walked\on foot,6.6,4.0
2012,transport,bicycle,0.6,1.4
2012,transport,minibus,0.5,0.1
2012,transport,motor cycle,0.1,0.0
2012,transport,tube,0.5,0.1
2012,transport,tram,0.0,0.0
2012,transport,motorised caravan\campervan,0.0,0.0
2012,transport,plane,0.5,0.0
2012,transport,boat\ship\ferry,0.7,0.0
2012,transport,lorry\truck\van,1.4,0.7
2012,transport,other,0.7,0.4
2013,transport,any car (net),85.6,8.0
2013,transport,car - own/friends/family,83.9,7.7
2013,transport,car - hired,1.7,0.3
2013,transport,public transport (net),16.4,13.6
2013,transport,train,9.9,5.4
2013,transport,a regular bus\coach,6.5,8.2
